"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   30 KASIM 2020  "," 18.592.292 "," 500.865 "," 13.746 "," 3,4 "," 5.190 "," 404.727 "," 31.219 "," 6.514 "," 176.656 "," 188 "," 4.485 "
"   29 KASIM 2020  "," 18.415.636 "," 494.351 "," 13.558 "," 3,4 "," 5.011 "," 400.242 "," 29.281 "," 6.439 "," 168.212 "," 185 "," 4.015 "
"   28 KASIM 2020  "," 18.247.424 "," 487.912 "," 13.373 "," 3,4 "," 4.903 "," 396.227 "," 30.103 "," 6.714 "," 174.443 "," 182 "," 3.611 "
"   27 KASIM 2020  "," 18.072.981 "," 481.198 "," 13.191 "," 3,4 "," 4.816 "," 392.616 "," 29.845 "," 6.592 "," 171.113 "," 177 "," 3.845 "
"   26 KASIM 2020  "," 17.901.868 "," 474.606 "," 13.014 "," 3,4 "," 4.711 "," 388.771 "," 29.132 "," 6.876 "," 168.348 "," 174 "," 3.291 "
"   25 KASIM 2020  "," 17.733.520 "," 467.730 "," 12.840 "," 3,4 "," 4.641 "," 385.480 "," 28.351 "," 6.814 "," 164.547 "," 168 "," 3.911 "
"   24 KASIM 2020  "," 17.568.973 "," 460.916 "," 12.672 "," 3,4 "," 4.543 "," 381.569 ","  "," 7.381 "," 162.231 "," 161 "," 3.678 "
"   23 KASIM 2020  "," 17.406.742 "," 453.535 "," 12.511 "," 3,4 "," 4.409 "," 377.891 ","  "," 6.713 "," 161.125 "," 153 "," 3.254 "
"   22 KASIM 2020  "," 17.245.617 "," 446.822 "," 12.358 "," 3,8 "," 4.217 "," 374.637 ","  "," 6.017 "," 155.516 "," 139 "," 3.812 "
"   21 KASIM 2020  "," 17.090.101 "," 440.805 "," 12.219 "," 3,8 "," 4.121 "," 370.825 ","  "," 5.532 "," 152.214 "," 135 "," 3.233 "
"   20 KASIM 2020  "," 16.937.887 "," 435.273 "," 12.084 "," 3,8 "," 3.990 "," 367.592 ","  "," 5.103 "," 156.642 "," 141 "," 3.019 "
