"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   10 AĞUSTOS 2020  "," 5.326.035 "," 241.997 "," 5.858 "," 8,2 "," 603 "," 224.970 ","  "," 1.193 "," 62.219 "," 14 "," 1.211 "
"   9 AĞUSTOS 2020  "," 5.263.816 "," 240.804 "," 5.844 "," 8,1 "," 596 "," 223.759 ","  "," 1.182 "," 61.446 "," 15 "," 1.103 "
"   8 AĞUSTOS 2020  "," 5.202.370 "," 239.622 "," 5.829 "," 8,1 "," 587 "," 222.656 ","  "," 1.172 "," 63.842 "," 16 "," 1.082 "
"   7 AĞUSTOS 2020  "," 5.138.528 "," 238.450 "," 5.813 "," 8,3 "," 586 "," 221.574 ","  "," 1.185 "," 56.726 "," 15 "," 1.028 "
"   6 AĞUSTOS 2020  "," 5.081.802 "," 237.265 "," 5.798 "," 8,3 "," 580 "," 220.546 ","  "," 1.153 "," 54.494 "," 14 "," 1.040 "
"   5 AĞUSTOS 2020  "," 5.027.308 "," 236.112 "," 5.784 "," 8,4 "," 582 "," 219.506 ","  "," 1.178 "," 53.842 "," 19 "," 1.015 "
"   4 AĞUSTOS 2020  "," 4.973.466 "," 234.934 "," 5.765 "," 8,5 "," 583 "," 218.491 ","  "," 1.083 "," 46.249 "," 18 "," 994 "
"   3 AĞUSTOS 2020  "," 4.927.217 "," 233.851 "," 5.747 "," 8.4 "," 580 "," 217.497 ","  "," 995 "," 41.301 "," 19 "," 1.003 "
"   2 AĞUSTOS 2020  "," 4.885.916 "," 232.856 "," 5.728 "," 8.5 "," 582 "," 216.494 ","  "," 987 "," 40.247 "," 18 "," 978 "
"   1 AĞUSTOS 2020  "," 4.845.669 "," 231.869 "," 5.710 "," 8.7 "," 586 "," 215.516 ","  "," 996 "," 44.846 "," 19 "," 981 "
"   31 TEMMUZ 2020  "," 4.800.823 "," 230.873 "," 5.691 "," 8.8 "," 582 "," 214.535 ","  "," 982 "," 46.492 "," 17 "," 996 "
"   30 TEMMUZ 2020  "," 4.754.331 "," 229.891 "," 5.674 "," 9.3 "," 561 "," 213.539 ","  "," 967 "," 43.236 "," 15 "," 982 "
"   29 TEMMUZ 2020  "," 4.711.095 "," 228.924 "," 5.659 "," 9.4 "," 542 "," 212.557 ","  "," 942 "," 45.712 "," 14 "," 996 "
"   28 TEMMUZ 2020  "," 4.665.383 "," 227.982 "," 5.645 ","  ","  "," 211.561 ","  "," 963 "," 47.412 "," 15 "," 1.092 "
"   27 TEMMUZ 2020  "," 4.617.971 "," 227.019 "," 5.630 ","  ","  "," 210.469 ","  "," 919 "," 45.283 "," 17 "," 982 "
"   26 TEMMUZ 2020  "," 4.572.688 "," 226.100 "," 5.613 ","  ","  "," 209.487 ","  "," 927 "," 40.016 "," 17 "," 1.010 "
"   25 TEMMUZ 2020  "," 4.532.672 "," 225.173 "," 5.596 ","  ","  "," 208.477 ","  "," 921 "," 43.312 "," 16 "," 1.103 "
"   24 TEMMUZ 2020  "," 4.489.360 "," 224.252 "," 5.580 ","  ","  "," 207.374 ","  "," 937 "," 42.986 "," 17 "," 1.009 "
"   23 TEMMUZ 2020  "," 4.446.374 "," 223.315 "," 5.563 ","  ","  "," 206.365 ","  "," 913 "," 43.343 "," 18 "," 1.151 "
"   22 TEMMUZ 2020  "," 4.403.031 "," 222.402 "," 5.545 ","  ","  "," 205.214 ","  "," 902 "," 43.404 "," 19 "," 1.203 "
"   21 TEMMUZ 2020  "," 4.359.627 "," 221.500 "," 5.526 ","  ","  "," 204.011 ","  "," 928 "," 42.846 "," 18 "," 1.009 "
"   20 TEMMUZ 2020  "," 4.316.781 "," 220.572 "," 5.508 ","  ","  "," 203.002 ","  "," 931 "," 43.404 "," 17 "," 992 "
"   19 TEMMUZ 2020  "," 4.273.377 "," 219.641 "," 5.491 ","  ","  "," 202.010 ","  "," 924 "," 41.310 "," 16 "," 997 "
"   18 TEMMUZ 2020  "," 4.232.067 "," 218.717 "," 5.475 ","  ","  "," 201.013 ","  "," 918 "," 40.943 "," 17 "," 1.179 "
"   17 TEMMUZ 2020  "," 4.191.124 "," 217.799 "," 5.458 ","  ","  "," 199.834 ","  "," 926 "," 41.215 "," 18 "," 1.014 "
"   16 TEMMUZ 2020  "," 4.149.909 "," 216.873 "," 5.440 ","  ","  "," 198.820 ","  "," 933 "," 42.411 "," 21 "," 1.087 "
"   15 TEMMUZ 2020  "," 4.107.498 "," 215.940 "," 5.419 ","  ","  "," 197.733 ","  "," 947 "," 42.320 "," 17 "," 1.013 "
"   14 TEMMUZ 2020  "," 4.065.178 "," 214.993 "," 5.402 ","  ","  "," 196.720 ","  "," 992 "," 43.231 "," 20 "," 1.049 "
"   13 TEMMUZ 2020  "," 4.021.947 "," 214.001 "," 5.382 ","  ","  "," 195.671 ","  "," 1.008 "," 46.492 "," 19 "," 1.156 "
"   12 TEMMUZ 2020  "," 3.975.455 "," 212.993 "," 5.363 ","  ","  "," 194.515 ","  "," 1.012 "," 45.232 "," 19 "," 1.298 "
"   11 TEMMUZ 2020  "," 3.930.223 "," 211.981 "," 5.344 ","  ","  "," 193.217 ","  "," 1.016 "," 48.813 "," 21 "," 1.334 "
"   10 TEMMUZ 2020  "," 3.881.410 "," 210.965 "," 5.323 ","  ","  "," 191.883 ","  "," 1.003 "," 48.787 "," 23 "," 1.493 "
"   9 TEMMUZ 2020  "," 3.832.623 "," 209.962 "," 5.300 ","  ","  "," 190.390 ","  "," 1.024 "," 50.103 "," 18 "," 2.879 "
"   8 TEMMUZ 2020  "," 3.782.520 "," 208.938 "," 5.282 ","  ","  "," 187.511 ","  "," 1.041 "," 49.302 "," 22 "," 2.219 "
"   7 TEMMUZ 2020  "," 3.733.218 "," 207.897 "," 5.260 ","  ","  "," 185.292 ","  "," 1.053 "," 50.545 "," 19 "," 2.297 "
"   6 TEMMUZ 2020  "," 3.682.673 "," 206.844 "," 5.241 ","  ","  "," 182.995 ","  "," 1.086 "," 52.193 "," 16 "," 2.315 "
"   5 TEMMUZ 2020  "," 3.630.480 "," 205.758 "," 5.225 ","  ","  "," 180.680 ","  "," 1.148 "," 46.414 "," 19 "," 1.188 "
"   4 TEMMUZ 2020  "," 3.584.066 "," 204.610 "," 5206 ","  ","  "," 179.492 ","  "," 1.154 "," 48.248 "," 20 "," 1.214 "
"   3 TEMMUZ 2020  "," 3.535.818  "," 203.456 "," 5.186 ","  ","  "," 178.278 ","  "," 1.172 "," 52.141 "," 19 "," 1.313 "
"   2 TEMMUZ 2020  "," 3.483.677 "," 202.284 "," 5.167 ","  ","  "," 176.965 ","  "," 1.186 "," 49.714 "," 17 "," 1.543 "
"   1 TEMMUZ 2020  ","  3.433.963  "," 201.098 "," 5.150 ","  ","  "," 175.422 ","  "," 1.192 "," 52.313 "," 19 "," 2.311 "
"   30 HAZİRAN 2020  "," 3.381.650 "," 199.906 "," 5.131 ","  ","  "," 173.111 ","  "," 1.293 "," 50.492 "," 16 "," 1.302 "
"   29 HAZİRAN 2020  "," 3.331.158 "," 198.613 "," 5.115 ","  ","  "," 171.809 ","  "," 1.374 "," 51.014 "," 18 "," 1.214 "
"   28 HAZİRAN 2020  "," 3.280.144 "," 197.239 "," 5.097 ","  ","  "," 170.595 ","  "," 1.356 "," 48.309 "," 15 "," 1.413 "
"   27 HAZİRAN 2020  "," 3.231.835 "," 195.883 "," 5.082 ","  ","  "," 169.182 ","  "," 1.372 "," 45.213 "," 17 "," 1.984 "
"   26 HAZİRAN 2020  "," 3.186.622 "," 194.511 "," 5.065 ","  ","  "," 167.198 ","  "," 1.396 "," 51.198 "," 19 "," 1.492 "
"   25 HAZİRAN 2020  "," 3.135.424 "," 193.115 "," 5.046 ","  ","  "," 165.706 ","  "," 1.458 "," 52.303 "," 21 "," 1.472 "
"   24 HAZİRAN 2020  "," 3.083.121 "," 191.657 "," 5.025 ","  ","  "," 164.234 ","  "," 1.492 "," 53.486 "," 24 "," 1.386 "
"   23 HAZİRAN 2020  "," 3.029.635 "," 190.165 "," 5.001 ","  ","  "," 162.848 ","  "," 1.268 "," 42.982 "," 27 "," 1.315 "
"   22 HAZİRAN 2020  "," 2.986.653 "," 188.897 "," 4.974 ","  ","  "," 161.533 ","  "," 1.212 "," 41.413 "," 24 "," 1.293 "
"   21 HAZİRAN 2020  "," 2.945.240 "," 187.685 "," 4.950 ","  ","  "," 160.240 ","  "," 1.192 "," 40.496 "," 23 "," 1.412 "
"   20 HAZİRAN 2020  "," 2.904.744 "," 186.493 "," 4.927 ","  ","  "," 158.828 ","  "," 1.248 "," 41.112 "," 22 "," 1.312 "
"   19 HAZİRAN 2020  "," 2.863.632 "," 185.245 "," 4.905 ","  ","  "," 157.516 ","  "," 1.214 "," 41.316 "," 23 "," 1.494 "
"   18 HAZİRAN 2020  "," 2.822.316 "," 184.031 "," 4.882 ","  ","  "," 156.022 ","  "," 1.304 "," 48.412 "," 21 "," 1382 "
"   17 HAZİRAN 2020  "," 2.773.904 "," 182.727 "," 4.861 ","  ","  "," 154.640 ","  "," 1.429 "," 52.901 "," 19 "," 1.261 "
"   16 HAZİRAN 2020  "," 2.721.003 "," 181.298 "," 4.842 ","  ","  "," 153.379 ","  "," 1.467 "," 46.800 "," 17 "," 1.015 "
"   15 HAZİRAN 2020  "," 2.674.203 "," 179.831 "," 4.825 ","  ","  "," 152.364 ","  "," 1.592 "," 42.032 "," 18	 "," 947 "
"   14 HAZİRAN 2020  "," 2.632.171 "," 178.239 "," 4.807 ","  ","  "," 151.417 ","  "," 1.562 "," 45.176 "," 15 "," 1.330 "
"   13 HAZİRAN 2020  "," 2.586.995 "," 176.677 "," 4.792 ","  ","  "," 150.087 ","  "," 1.459 "," 45.092 "," 14 "," 985 "
"   12 HAZİRAN 2020  "," 2.541.903 "," 175.218 "," 4.778 ","  ","  "," 149.102 ","  "," 1.195 "," 41.013 "," 15 "," 1.242 "
"   11 HAZİRAN 2020  "," 2.500.890 "," 174.023 "," 4.763 ","  ","  "," 147.860 ","  "," 987 "," 49.190 "," 17 "," 1.021 "
"   10 HAZİRAN 2020  "," 2.451.700 "," 173.036 "," 4.746 ","  ","  "," 146.839 ","  "," 922 "," 36.521 "," 17 "," 2.241 "
"   9 HAZİRAN 2020  "," 2.415.179 "," 172.114 "," 4.729 ","  ","  "," 144.598 ","  "," 993 "," 37.225 "," 18 "," 3.218 "
"   8 HAZİRAN 2020  "," 2.377.954 "," 171.121 "," 4.711 ","  ","  "," 141.380 ","  "," 989 "," 39.361 "," 19 "," 3.411 "
"   7 HAZİRAN 2020  "," 2.338.593 "," 170.132 "," 4.692 ","  ","  "," 137.969 ","  "," 914 "," 35.335 "," 23 "," 2.647 "
"   6 HAZİRAN 2020  "," 2.303.258 "," 169.218 "," 4.669 ","  ","  "," 135.322 ","  "," 878 "," 35.846 "," 21 "," 1.922 "
"   5 HAZİRAN 2020  "," 2.267.412 "," 168.340 "," 4.648 ","  ","  "," 133.400 ","  "," 930 "," 57.829 "," 18 "," 1.622 "
"   4 HAZİRAN 2020  "," 2.209.583 "," 167.410 "," 4.630 ","  ","  "," 131.778 ","  "," 988 "," 54.234 "," 21 "," 926 "
"   3 HAZİRAN 2020  "," 2.155.349 "," 166.422 "," 4.609 ","  ","  "," 130.852 ","  "," 867 "," 52.305 "," 24 "," 931 "
"   2 HAZİRAN 2020  "," 2.103.044 "," 165.555 "," 4.585 ","  ","  "," 129.921 ","  "," 786 "," 32.325 "," 22 "," 974 "
"   1 HAZİRAN 2020  "," 2.070.719 "," 164.769 "," 4.563 ","  ","  "," 128.947 ","  "," 827 "," 31.525 "," 23 "," 974 "
"   31 MAYIS 2020  "," 2.039.194 "," 163.942 "," 4540 ","  ","  "," 127.973 ","  "," 839 "," 35.600 "," 25 "," 989 "
"   30 MAYIS 2020  "," 2.003.594 "," 163.103 "," 4515 ","  ","  "," 126.984 ","  "," 983 "," 39.230 "," 26 "," 1.021 "
"   29 MAYIS 2020  "," 1.964.364 "," 162.120 "," 4.489 ","  ","  "," 125.963 ","  "," 1.141 "," 36.155 "," 28 "," 1.594 "
"   28 MAYIS 2020  "," 1.928.209 "," 160.979 "," 4.461 ","  ","  "," 124.369 ","  "," 1.182 "," 33.559 "," 30 "," 1.576 "
"   27 MAYIS 2020  "," 1.894.650 "," 159.797 "," 4.431 ","  ","  "," 122.793 ","  "," 1.035 "," 21.043 "," 34 "," 1.286 "
"   26 MAYIS 2020  "," 1.873.607 "," 158.762 "," 4.397 ","  ","  "," 121.507 ","  "," 948 "," 19.853 "," 28 "," 1.492 "
"   25 MAYIS 2020  "," 1.853.754 "," 157.814 "," 4.369 ","  ","  "," 120.015 ","  "," 987 "," 21.492 "," 29 "," 1.321 "
"   24 MAYIS 2020  "," 1.832.262 "," 156.827 "," 4.340 ","  ","  "," 118.694 ","  "," 1.141 "," 24.589 "," 32 "," 1.092 "
"   23 MAYIS 2020  "," 1.807.673 "," 155.686 "," 4.308 ","  ","  "," 117.602 ","  "," 1.186 "," 40.178 "," 32 "," 1.491 "
"   22 MAYIS 2020  "," 1.767.495 "," 154.500 "," 4.276 ","  ","  "," 116.111 ","  "," 952 "," 37.507 "," 27 "," 1.121 "
"   21 MAYIS 2020  "," 1.729.988 "," 153.548 "," 4.249 ","  ","  "," 114.990 ","  "," 961 "," 33.633 "," 27 "," 1.003 "
"   20 MAYIS 2020  "," 1.696.355 "," 152.587 "," 4.222 ","  ","  "," 113.987 ","  "," 972 "," 20.838 "," 23 "," 1.092 "
"   19 MAYIS 2020  "," 1.675.517 "," 151.615 "," 4.199 ","  ","  "," 112.895 ","  "," 1.022 "," 25.382 "," 28 "," 1.318 "
"   18 MAYIS 2020  "," 1.650.135 "," 150.593 "," 4.171 ","  ","  "," 111.577 ","  "," 1.158 "," 25.141 "," 31 "," 1.615 "
"   17 MAYIS 2020  "," 1.624.994 "," 149.435 "," 4.140 ","  ","  "," 109.962 ","  "," 1.368 "," 35.369 "," 44 "," 1.825 "
"   16 MAYIS 2020  "," 1.589.625 "," 148.067 "," 4.096 ","  ","  "," 108.137 ","  "," 1.610 "," 42.236 "," 41 "," 2.004 "
"   15 MAYIS 2020  "," 1.547.389 "," 146.457 "," 4.055 ","  ","  "," 106.133 ","  "," 1.708 "," 38.565 "," 48 "," 2.103 "
"   14 MAYIS 2020  "," 1.508.824 "," 144.749 "," 4.007 ","  ","  "," 104.030 ","  "," 1.635 "," 34.821 "," 55 "," 2.315 "
"   13 MAYIS 2020  "," 1.474.003 "," 143.114 "," 3.952 ","  ","  "," 101.715 ","  "," 1.639 "," 33.332 "," 58 "," 2.826 "
"   12 MAYIS 2020  "," 1.440.671 "," 141.475 "," 3.894 ","  ","  "," 98.889 ","  "," 1.704 "," 37.351 "," 53 "," 3.109 "
"   11 MAYIS 2020  "," 1.403.320 "," 139.771 "," 3.841 ","  ","  "," 95.780 ","  "," 1.114 "," 32.722 "," 55 "," 3.089 "
"   10 MAYIS 2020  "," 1.370.598 "," 138.657 "," 3.786 ","  ","  "," 92.691 ","  "," 1.542 "," 36.187 "," 47 "," 3.211 "
"   9 MAYIS 2020  "," 1.334.411 "," 137.115 "," 3.739 ","  ","  "," 89.480 ","  "," 1.546 "," 35.605 "," 50 "," 3.084 "
"   8 MAYIS 2020  "," 1.298.806 "," 135.569 "," 3.689 ","  ","  "," 86.396 ","  "," 1.848 "," 33.687 "," 48 "," 3.412 "
"   7 MAYIS 2020  "," 1.265.119 "," 133.721 "," 3.641 ","  ","  "," 82.984 ","  "," 1.977 "," 30.395 "," 57 "," 4.782 "
"   6 MAYIS 2020  "," 1.234.724 "," 131.744 "," 3.584 ","  ","  "," 78.202 ","  "," 2.253 "," 30.303 "," 64 "," 4.917 "
"   5 MAYIS 2020  "," 1.204.421 "," 129.491 "," 3.520 ","  ","  "," 73.285 ","  "," 1.832 "," 33.283 "," 59 "," 5.119 "
"   4 MAYIS 2020  "," 1.171.138 "," 127.659 "," 3.461 ","  ","  "," 68.166 ","  "," 1.614 "," 35.771 "," 64 "," 5.015 "
"   3 MAYIS 2020  "," 1.135.367 "," 126.045 "," 3.397 ","  ","  "," 63.151 ","  "," 1.670 "," 24.001 "," 61 "," 4.892 "
"   2 MAYIS 2020  "," 1.111.366 "," 124.375 "," 3.336 ","  ","  "," 58.259 ","  "," 1.983 "," 36.318 "," 78 "," 4.451 "
"   1 MAYIS 2020  "," 1.075.048 "," 122.392 "," 3.258 ","  ","  "," 53.808 ","  "," 2.188 "," 41.431 "," 84 "," 4.922 "
"   30 NİSAN 2020  "," 1.033.617 "," 120.204 "," 3.174 ","  ","  "," 48.886 ","  "," 2.615 "," 42.004 "," 93 "," 4.846 "
"   29 NİSAN 2020  "," 991.613 "," 117.589 "," 3.081 ","  ","  "," 44.040 ","  "," 2.936 "," 43.498 "," 89 "," 5.231 "
"   28 NİSAN 2020  "," 948.115 "," 114.653 "," 2.992 ","  ","  "," 38.809 ","  "," 2.392 "," 29.230 "," 92 "," 5.018 "
"   27 NİSAN 2020  "," 918.885 "," 112.261 "," 2.900 ","  ","  "," 33.791 ","  "," 2.131 "," 20.143 "," 95 "," 4.651 "
"   26 NİSAN 2020  "," 898.742 "," 110.130 "," 2.805 ","  ","  "," 29.140 ","  "," 2.357 "," 30.177 "," 99 "," 3.558 "
"   25 NİSAN 2020  "," 868.565 "," 107.773 "," 2.706 ","  ","  "," 25.582 ","  "," 2.861 "," 38.308 "," 106 "," 3.845 "
"   24 NİSAN 2020  "," 830.257 "," 104.912 "," 2.600 ","  ","  "," 21.737 ","  "," 3.122 "," 38.351 "," 109 "," 3.246 "
"   23 NİSAN 2020  "," 791.906 "," 101.790 "," 2.491 ","  ","  "," 18.491 ","  "," 3.116 "," 40.962 "," 115 "," 2.014 "
"   22 NİSAN 2020  "," 750.944 "," 98.674 "," 2.376 ","  ","  "," 16.477 ","  "," 3.083 "," 37.535 "," 117 "," 1.559 "
"   21 NİSAN 2020  "," 713.409 "," 95.591 "," 2.259 ","  ","  "," 14.918 ","  "," 4.611 "," 39.429 "," 119 "," 1.488 "
"   20 NİSAN 2020  "," 673.980 "," 90.980 "," 2.140 ","  ","  "," 13.430 ","  "," 4.674 "," 39.703 "," 123 "," 1.454 "
"   19 NİSAN 2020  "," 634.277 "," 86.306 "," 2.017 ","  ","  "," 11.976 ","  "," 3.977 "," 35.344 "," 127 "," 1.523 "
"   18 NİSAN 2020  "," 598.933 "," 82.329 "," 1.890 ","  ","  "," 10.453 ","  "," 3.783 "," 40.520 "," 121 "," 1.822 "
"   17 NİSAN 2020  "," 558.413 "," 78.546 "," 1.769 ","  ","  "," 8.631 ","  "," 4.353 "," 40.270 "," 126 "," 1.542 "
"   16 NİSAN 2020  "," 518.143 "," 74.193 "," 1.643 ","  ","  "," 7.089 ","  "," 4.801 "," 40.427 "," 125 "," 1.415 "
"   15 NİSAN 2020  "," 477.716 "," 69.392 "," 1.518 ","  ","  "," 5.674 ","  "," 4.281 "," 34.090 "," 115 "," 875 "
"   14 NİSAN 2020  "," 443.626 "," 65.111 "," 1.403 ","  ","  "," 4.799 ","  "," 4.062 "," 33.070 "," 107 "," 842 "
"   13 NİSAN 2020  "," 410.556 "," 61.049 "," 1.296 ","  ","  "," 3.957 ","  "," 4.093 "," 34.456 "," 98 "," 511 "
"   12 NİSAN 2020  "," 376.100 "," 56.956 "," 1.198 ","  ","  "," 3.446 ","  "," 4.789 "," 35.720 "," 97 "," 481 "
"   11 NİSAN 2020  "," 340.380 "," 52.167 "," 1.101 ","  ","  "," 2.965 ","  "," 5.138 "," 33.170 "," 95 "," 542 "
"   10 NİSAN 2020  "," 307.210 "," 47.029 "," 1.006 ","  ","  "," 2.423 ","  "," 4.747 "," 30.864 "," 98 "," 281 "
"   9 NİSAN 2020  "," 276.346 "," 42.282 "," 908 ","  ","  "," 2.142 ","  "," 4.056 "," 28.578 "," 96 "," 296 "
"   8 NİSAN 2020  "," 247.768 "," 38.226 "," 812 ","  ","  "," 1.846 ","  "," 4.117 "," 24.900 "," 87 "," 264 "
"   7 NİSAN 2020  "," 222.868 "," 34.109 "," 725 ","  ","  "," 1.582 ","  "," 3.892 "," 20.023 "," 76 "," 256 "
"   6 NİSAN 2020  "," 202.845 "," 30.217 "," 649 ","  ","  "," 1.326 ","  "," 3.148 "," 21.400 "," 75 "," 284 "
"   5 NİSAN 2020  "," 181.445 "," 27.069 "," 574 ","  ","  "," 1.042 ","  "," 3.135 "," 20.065 "," 73 "," 256 "
"   4 NİSAN 2020  "," 161.380 "," 23.934 "," 501 ","  ","  "," 786 ","  "," 3.013 "," 19.664 "," 76 "," 302 "
"   3 NİSAN 2020  "," 141.716 "," 20.921 "," 425 ","  ","  "," 484 ","  "," 2.786 "," 16.160 "," 69 ","  "
"   2 NİSAN 2020  "," 125.556 "," 18.135 "," 356 ","  ","  "," 415 ","  "," 2.456 "," 18.757 "," 79 ","  "
"   1 NİSAN 2020  "," 106.799 "," 15.679 "," 277 ","  ","  "," 333 ","  "," 2.148 "," 14.396 "," 63 ","  "
"   31 MART 2020  "," 92.403 "," 13.531 "," 214 ","  ","  "," 243 ","  "," 2.704 "," 15.422 "," 46 ","  "
"   30 MART 2020  "," 76.981 "," 10.827 "," 168 ","  ","  "," 162 ","  "," 1.610 "," 11.535 "," 37 ","  "
"   29 MART 2020  "," 65.446 "," 9.217 "," 131 ","  ","  "," 105 ","  "," 1.815 "," 9.982 "," 23 ","  "
"   28 MART 2020  "," 55.464 "," 7.402 "," 108 ","  ","  "," 70 ","  "," 1.704 "," 7.641 "," 16 ","  "
"   27 MART 2020  "," 47.823 "," 5.698 "," 92 ","  ","  "," 42 ","  "," 2.069 "," 7.533 "," 17 ","  "
"   26 MART 2020  ","  "," 3629 "," 75 ","  ","  ","  ","  ","  ","  ","  ","  "
"   25 MART 2020  ","  "," 2433 "," 59 ","  ","  ","  ","  ","  ","  ","  ","  "
"   24 MART 2020  ","  "," 1872 "," 44 ","  ","  ","  ","  ","  ","  ","  ","  "
"   23 MART 2020  ","  "," 1529 "," 37 ","  ","  ","  ","  ","  ","  ","  ","  "
"   22 MART 2020  ","  "," 1236 "," 30 ","  ","  ","  ","  ","  ","  ","  ","  "
"   21 MART 2020  ","  "," 947 "," 21 ","  ","  ","  ","  ","  ","  ","  ","  "
"   20 MART 2020  ","  "," 670 "," 9 ","  ","  ","  ","  ","  ","  ","  ","  "
"   19 MART 2020  ","  "," 359 "," 4 ","  ","  ","  ","  ","  ","  ","  ","  "
"   18 MART 2020  ","  "," 191 "," 2 ","  ","  ","  ","  ","  ","  ","  ","  "
"   17 MART 2020  ","  "," 98 "," 1 ","  ","  ","  ","  ","  ","  ","  ","  "
"   16 MART 2020  ","  "," 47 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"   15 MART 2020  ","  "," 18 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"   14 MART 2020  ","  "," 6 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"   13 MART 2020  ","  "," 5 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"   12 MART 2020  ","  "," 1 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
"   11 MART 2020  ","  "," 1 ","  ","  ","  ","  ","  ","  ","  ","  ","  "
